expirationDate,baseType,vin,date,make,model,year,gas1,gas2,identifier,mpg
01/02/2021,BLACK-CAR,4T1BD1FK1FU172305,2018-01-02,TOYOTA,Camry,2015,Gasoline,Electric,toyotacamry2015h,
01/02/2021,BLACK-CAR,5N1DL0MM3HC547033,2018-01-02,INFINITI,QX60,2017,Gasoline,,infinitiqx602017g,22.25
01/02/2021,BLACK-CAR,5TDJZRFH9KS582451,2018-01-02,TOYOTA,Highlander,2019,Gasoline,,toyotahighlander2019g,
01/02/2021,BLACK-CAR,2LMHJ5AT2DBL53396,2018-01-02,LINCOLN,MKT,2013,Gasoline,,lincolnmkt2013g,17.5
01/02/2021,BLACK-CAR,4T1B11HK1KU213435,2018-01-02,TOYOTA,Camry,2019,Gasoline,,toyotacamry2019g,
01/02/2021,BLACK-CAR,4T1B11HK9KU234792,2018-01-02,TOYOTA,Camry,2019,Gasoline,,toyotacamry2019g,
01/02/2021,BLACK-CAR,5NPEC4AC3EH843651,2018-01-02,HYUNDAI,Sonata,2014,Gasoline,,hyundaisonata2014g,28.75
01/02/2021,BLACK-CAR,2G61M5S38H9117231,2018-01-02,CADILLAC,XTS,2017,Gasoline,,cadillacxts2017g,16.2
01/02/2021,BLACK-CAR,2G61M5S35H9115999,2018-01-02,CADILLAC,XTS,2017,Gasoline,,cadillacxts2017g,16.2
01/02/2021,BLACK-CAR,4T1BK1EB0GU210079,2018-01-02,TOYOTA,Avalon,2016,Gasoline,,toyotaavalon2016g,30.5
01/02/2021,BLACK-CAR,1LNHL9EK9EG600809,2018-01-02,LINCOLN,MKS,2014,Gasoline,,lincolnmks2014g,18
01/02/2021,BLACK-CAR,4T1BD1FK3EU125582,2018-01-02,TOYOTA,Camry,2014,Gasoline,Electric,toyotacamry2014h,
01/02/2021,BLACK-CAR,4T1B11HKXJU152097,2018-01-02,TOYOTA,Camry,2018,Gasoline,,toyotacamry2018g,32
01/02/2021,BLACK-CAR,1GNSKHKC6HR133711,2018-01-02,CHEVROLET,Suburban,2017,Gasoline,Ethanol (E85),chevroletsuburban2017h,15.5
01/02/2021,BLACK-CAR,2LMHJ5AT9DBL58787,2018-01-02,LINCOLN,MKT,2013,Gasoline,,lincolnmkt2013g,17.5
01/02/2021,BLACK-CAR,5NPE24AF2FH039968,2018-01-02,HYUNDAI,Sonata,2015,Gasoline,,hyundaisonata2015g,27
01/02/2021,BLACK-CAR,4T4BF1FK9GR567690,2018-01-02,TOYOTA,Camry,2016,Gasoline,,toyotacamry2016g,32
01/02/2021,BLACK-CAR,4T1BK1EB9DU048285,2018-01-02,TOYOTA,Avalon,2013,Gasoline,,toyotaavalon2013g,27.3333333333333
01/02/2021,BLACK-CAR,4T1BF1FK5HU378689,2018-01-02,TOYOTA,Camry,2017,Gasoline,,toyotacamry2017g,31.75
01/02/2021,BLACK-CAR,4T1B11HK1JU142171,2018-01-02,TOYOTA,Camry,2018,Gasoline,,toyotacamry2018g,32
01/02/2021,BLACK-CAR,4T1BF1FK5HU794242,2018-01-02,TOYOTA,Camry,2017,Gasoline,,toyotacamry2017g,31.75
01/02/2021,BLACK-CAR,JTDZN3EU4C3071078,2018-01-02,TOYOTA,Prius V,2012,Gasoline,Electric,toyotaprius2012h,51
01/02/2021,BLACK-CAR,KMHGN4JE6FU042235,2018-01-02,HYUNDAI,Genesis,2015,Gasoline,,hyundaigenesis2015g,16.2
01/02/2021,BLACK-CAR,1GNSKHKC4JR278736,2018-01-02,CHEVROLET,Suburban,2018,Gasoline,Ethanol (E85),chevroletsuburban2018h,15.5
01/02/2021,BLACK-CAR,1HGCR2F82GA203361,2018-01-02,HONDA,Accord,2016,Gasoline,,hondaaccord2016g,22.6666666666667
